id,bank,term_months,table_name,coefficient,is_active,created_at,agreement_id,safety_margin,operation_type,margin_type
397,NEO,96,NCDT_072-400_425248 - CB - CD,0.0425248919,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
389,NEO,96,NCDT_096-320_336350 - CC - CD,0.0336350900,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
394,NEO,96,NCDT_072-460_478787 - CB - CD,0.0478787163,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
392,NEO,96,NCDT_072-500_515363 - CB - CD,0.0515363280,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
381,NEO,96,NCDT_096-480_485387 - CC - CD,0.0485387728,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
399,NEO,96,NCDT_072-360_390608 - CB - CD,0.0390608290,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
401,NEO,96,NCDT_072-320_356955 - CB - CD,0.0356955195,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
385,NEO,96,NCDT_096-400_409485 - CC - CD,0.0409485002,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
391,NEO,96,NCDT_096_485387728 - COMPRA,0.0485387728,t,2025-11-20 14:19:37.151152,14,0.00,consignado,percentual
393,NEO,96,NCDT_072-480_496995 - CB - CD,0.0496995750,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
384,NEO,96,NCDT_096-420_428248 - CC - CD,0.0428248884,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
400,NEO,96,NCDT_072-340_373650 - CB - CD,0.0373650096,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
386,NEO,96,NCDT_096-380_390892 - CC - CD,0.0390892083,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
387,NEO,96,NCDT_096-360_372490 - CC - CD,0.0372490466,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
390,NEO,96,NCDT_096-300_318661 - CC - CD,0.0318661932,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
