id,lead_id,user_id,campaign_id,status,ordem_fila,data_primeiro_atendimento,data_ultimo_atendimento,created_at,updated_at
12246,227,30,3,novo,227,,,2025-12-15 23:41:53.967642,2025-12-15 23:41:53.967642
12248,229,30,3,novo,229,,,2025-12-15 23:41:54.081544,2025-12-15 23:41:54.081544
12250,231,30,3,novo,231,,,2025-12-15 23:41:54.193497,2025-12-15 23:41:54.193497
12252,233,30,3,novo,233,,,2025-12-15 23:41:54.311828,2025-12-15 23:41:54.311828
12254,235,30,3,novo,235,,,2025-12-15 23:41:54.424828,2025-12-15 23:41:54.424828
12256,237,30,3,novo,237,,,2025-12-15 23:41:54.537199,2025-12-15 23:41:54.537199
12258,239,30,3,novo,239,,,2025-12-15 23:41:54.795336,2025-12-15 23:41:54.795336
12260,241,30,3,novo,241,,,2025-12-15 23:41:54.907076,2025-12-15 23:41:54.907076
12262,243,30,3,novo,243,,,2025-12-15 23:41:55.018755,2025-12-15 23:41:55.018755
12264,245,30,3,novo,245,,,2025-12-15 23:41:55.131716,2025-12-15 23:41:55.131716
12266,247,30,3,novo,247,,,2025-12-15 23:41:55.243295,2025-12-15 23:41:55.243295
12268,249,30,3,novo,249,,,2025-12-15 23:41:55.3552,2025-12-15 23:41:55.3552
12270,251,30,3,novo,251,,,2025-12-15 23:41:55.468466,2025-12-15 23:41:55.468466
12272,253,30,3,novo,253,,,2025-12-15 23:41:55.582595,2025-12-15 23:41:55.582595
12274,255,30,3,novo,255,,,2025-12-15 23:41:55.693761,2025-12-15 23:41:55.693761
12276,257,30,3,novo,257,,,2025-12-15 23:41:55.805468,2025-12-15 23:41:55.805468
12278,259,30,3,novo,259,,,2025-12-15 23:41:55.916803,2025-12-15 23:41:55.916803
12280,261,30,3,novo,261,,,2025-12-15 23:41:56.047167,2025-12-15 23:41:56.047167
12282,263,30,3,novo,263,,,2025-12-15 23:41:56.164818,2025-12-15 23:41:56.164818
12284,265,30,3,novo,265,,,2025-12-15 23:41:56.275783,2025-12-15 23:41:56.275783
12286,267,30,3,novo,267,,,2025-12-15 23:41:56.387251,2025-12-15 23:41:56.387251
12288,269,30,3,novo,269,,,2025-12-15 23:41:56.49878,2025-12-15 23:41:56.49878
12290,271,30,3,novo,271,,,2025-12-15 23:41:56.612727,2025-12-15 23:41:56.612727
12292,273,30,3,novo,273,,,2025-12-15 23:41:56.723323,2025-12-15 23:41:56.723323
12294,275,30,3,novo,275,,,2025-12-15 23:41:56.835514,2025-12-15 23:41:56.835514
12296,277,30,3,novo,277,,,2025-12-15 23:41:56.946413,2025-12-15 23:41:56.946413
12298,279,30,3,novo,279,,,2025-12-15 23:41:57.057727,2025-12-15 23:41:57.057727
12300,281,30,3,novo,281,,,2025-12-15 23:41:57.170923,2025-12-15 23:41:57.170923
